language,BCP-47 code,ISO 639-3 code,ISO 639-1 code
Biga,,bhc,
Bhadrawahi,,bhd,
Bhaya,,bhe,
Odiai,,bhf,
Binandere,,bhg,
Bukharic,bhh_Cyrl,bhh,
Bhilali,,bhi,
Bahing,,bhj,
Bimin,,bhl,
Bathari,,bhm,
Bohtan Neo-Aramaic,,bhn,
Bhojpuri,bho_Deva,bho,
Bima,bhp_Latn,bhp,
Tukang Besi South,,bhq,
Bara Malagasy,,bhr,
Buwal,,bhs,
Bhattiyali,bht_Deva,bht,
Bhunjia,,bhu,
Bahau,,bhv,
Biak,,bhw,
Bhele,,bhy,
Bada,bhz_Latn,bhz,
Badimaya,,bia,
Bisa,bib_Latn,bib,
Bidiyo,,bid,
Bepour,,bie,
Biafada,,bif,
Biangai,,big,
Bile,,bil,
Bimoba,bim_Latn,bim,
Edo,,bin,
Nai,,bio,
Bila,,bip,
Bipi,,biq,
Bisorio,,bir,
Bislama,bis_Latn,bis,bi
Berinomo,,bit,
Biete,,biu,
"Birifor, Southern",biv_Latn,biv,
Kol (Cameroon),,biw,
Bijori,,bix,
Birhor,,biy,
Baloi,,biz,
Budza,,bja,
Banggarla,,bjb,
Bariji,,bjc,
Biao-Jiao Mien,,bje,
Barzani Jewish Neo-Aramaic,,bjf,
Bidyogo,,bjg,
Bahinemo,,bjh,
Burji,,bji,
Kanauji,bjj_Deva,bjj,
Barok,bjk_Latn,bjk,
Bulu (Papua New Guinea),,bjl,
Bajelani,,bjm,
Banjar,bjn_Latn,bjn,
Mid-Southern Banda,,bjo,
Binumarien,bjr_Latn,bjr,
Bajan,,bjs,
Balanta-Ganja,bjt_Latn,bjt,
Busuu,,bju,
Bedjond,bjv_Latn,bjv,
Bakwé,bjw_Latn,bjw,
Banao Itneg,,bjx,
Bayali,,bjy,
Baruga,bjz_Latn,bjz,
Kyak,,bka,
Baka (Cameroon),,bkc,
Binukid,bkd_Latn,bkd,
Beeke,,bkf,
Bakoko,bkh_Latn,bkh,
Baki,,bki,
Pande,,bkj,
Brokskat,,bkk,
Berik,,bkl,
Kom (Cameroon),bkm_Latn,bkm,
Bukitan,,bkn,
Kwa',,bko,
Boko (Democratic Republic of Congo),,bkp,
Bakairí,,bkq,
Bakumpai,,bkr,
Northern Sorsoganon,,bks,
Boloki,,bkt,
Buhid,,bku,
Bekwarra,bkv_Latn,bkv,
Bekwel,,bkw,
Baikeno,,bkx,
Bokyi,bky_Latn,bky,
Bungku,,bkz,
Siksika,,bla,
Bilua,,blb,
Bella Coola,,blc,
Bolango,,bld,
Balanta-Kentohe,ble_Latn,ble,
Buol,,blf,
Kuwaa,blh_Latn,blh,
Bolia,,bli,
Bolongan,,blj,
Pa'o Karen,,blk,
Biloxi,,bll,
Beli (South Sudan),,blm,
Southern Catanduanes Bikol,,bln,
Anii,,blo,
Blablanga,,blp,
Baluan-Pam,,blq,
Blang,,blr,
Balaesang,,bls,
Tai Dam,blt_Latn,blt,
Kibala,,blv,
Balangao,,blw,
"Ayta, Mag-Indi",blx_Latn,blx,
Notre,,bly,
Balantak,blz_Latn,blz,
Lame,,bma,
Bembe,,bmb,
Biem,,bmc,
Baga Manduri,,bmd,
Limassa,,bme,
Bom-Kim,,bmf,
Bamwe,,bmg,
Kein,,bmh,
Bagirmi,,bmi,
Bote-Majhi,,bmj,
Ghayavi,,bmk,
Bomboli,,bml,
Northern Betsimisaraka Malagasy,bmm_Latn,bmm,
Bina (Papua New Guinea),,bmn,
Bambalang,,bmo,
Bulgebi,,bmp,
Bomu,bmq_Latn,bmq,
Muinane,bmr_Latn,bmr,
Bilma Kanuri,,bms,
Biao Mon,,bmt,
Somba-Siawari,bmu_Latn,bmu,
Bum,bmv_Latn,bmv,
Bomwali,,bmw,
Baimak,,bmx,
Baramu,,bmz,
Bonerate,,bna,
Bookan,,bnb,
Bontok,,bnc,
Banda (Indonesia),,bnd,
Bintauna,,bne,
Masiwang,,bnf,
Benga,bng_Beng,bng,
Bangi,,bni,
Eastern Tawbuid,,bnj,
Bierebo,,bnk,
Boon,,bnl,
Batanga,bnm_Latn,bnm,
Bunun,bnn_Latn,bnn,
Bantoanon,bno_Latn,bno,
Bola,bnp_Latn,bnp,
Bantik,,bnq,
Butmas-Tur,,bnr,
Bundeli,bns_Deva,bns,
Bentong,,bnu,
Edwas,,bnv,
Bisis,,bnw,
Bangubangu,,bnx,
Bintulu,,bny,
Beezen,,bnz,
Bora,boa_Latn,boa,
Aweer,,bob,
"Tibetan, Central",bod_Tibt,bod,bo
Mundabli,,boe,
Bolon,,bof,
Boma,,boh,
Barbareño,,boi,
Anjam,boj_Latn,boj,
Bonjo,,bok,
Bole,,bol,
Berom,bom_Latn,bom,
Bine,,bon,
Tiemacèwè Bozo,,boo,
Bonkiman,,bop,
Bogaya,,boq,
Borôro,bor_Latn,bor,
Bosnian,bos_Latn,bos,bs
Bongo,,bot,
Bondei,bou_Latn,bou,
Tuwuli,bov_Latn,bov,
Rema,,bow,
Buamu,box_Latn,box,
Bodo (Central African Republic),,boy,
Tiéyaxo Bozo,,boz,
Daakaka,,bpa,
Banda-Banda,,bpd,
Bauni,,bpe,
Bonggo,,bpg,
Botlikh,,bph,
Bagupi,,bpi,
Binji,,bpj,
Orowe,,bpk,
Biyom,,bpm,
Dzao Min,,bpn,
Kaure,,bpp,
Banda Malay,,bpq,
"Blaan, Koronadal",bpr_Latn,bpr,
"Blaan, Sarangani",bps_Latn,bps,
Barrow Point,,bpt,
Bongu,,bpu,
Bian Marind,,bpv,
Bo (Papua New Guinea),,bpw,
Palya Bareli,,bpx,
Bishnupriya,,bpy,
Bilba,,bpz,
Tchumbuli,,bqa,
Bagusa,,bqb,
Boko,bqc_Latn,bqc,
Bung,,bqd,
Bago-Kusuntu,bqg_Latn,bqg,
Baima,,bqh,
Bakhtiâri,bqi_Arab,bqi,
Bandial,bqj_Latn,bqj,
Banda-Mbrès,,bqk,
Bilakura,,bql,
Wumboko,,bqm,
Balo,,bqo,
Bisã,bqp_Latn,bqp,
Biritai,,bqq,
Burusu,,bqr,
Bosngun,,bqs,
Bamukumbit,,bqt,
Boguru,,bqu,
Koro Wachi,,bqv,
Buru (Nigeria),,bqw,
Baangi,,bqx,
Bakaka,,bqz,
Braj,bra_Deva,bra,
Lave,,brb,
Berbice Creole Dutch,,brc,
Baraamu,,brd,
Breton,bre_Latn,bre,br
Bira,,brf,
Baure,,brg,
Brahui,brh_Arab,brh,
Mokpwe,bri_Latn,bri,
Bieria,,brj,
Birked,,brk,
Birwa,,brl,
Barambu,,brm,
Boruca,,brn,
Brokkat,,bro,
Barapasi,,brp,
Breri,,brq,
Birao,,brr,
Baras,,brs,
Bitare,,brt,
"Bru, Eastern",bru_Latn,bru,
Western Bru,,brv,
Bellari,,brw,
Bodo (India),brx_Deva,brx,
Burui,,bry,
Bilbil,,brz,
Abinomn,,bsa,
Brunei Bisaya,,bsb,
Oniyan,bsc_Latn,bsc,
Wushi,,bse,
Bauchi,,bsf,
Bashkardi,,bsg,
Kati,bsh_Arab,bsh,
Bassossi,,bsi,
Bangwinji,bsj_Latn,bsj,
Burushaski,bsk_Latn,bsk,
Basa-Gumna,,bsl,
Busami,,bsm,
Barasana-Eduria,,bsn,
Baga Sitemu,,bsp,
Bassa,bsq_Latn,bsq,
Bassa-Kontagora,,bsr,
Akoose,bss_Latn,bss,
Basketo,,bst,
Bahonsuai,,bsu,
Baiso,,bsw,
Yangkam,,bsx,
Sabah Bisaya,bsy_Latn,bsy,
Bata,,bta,
Bati (Cameroon),,btc,
Batak Dairi,btd_Latn,btd,
Gamo-Ningi,,bte,
Birgit,,btf,
Gagnoa Bété,,btg,
Biatah Bidayuh,,bth,
Burate,,bti,
Bacanese Malay,,btj,
Batak Mandailing,btm_Latn,btm,
Ratagnon,,btn,
Rinconada Bikol,,bto,
Budibud,,btp,
Batek,,btq,
Baetora,,btr,
Batak Simalungun,bts_Latn,bts,
Bete-Bendi,btt_Latn,btt,
Batu,,btu,
Bateri,btv_Arab,btv,
Butuanon,,btw,
Batak Karo,btx_Latn,btx,
Bobot,,bty,
Batak Alas-Kluet,,btz,
Bua,,bub,
Bushi,,buc,
Ntcham,bud_Latn,bud,
Beothuk,,bue,
Bushoong,,buf,
Younuo Bunu,,buh,
Bongili,,bui,
Basa-Gurmana,,buj,
Bugawac,,buk,
Bulgarian,bul_Cyrl,bul,bg
Bulu (Cameroon),bum_Latn,bum,
Sherbro,,bun,
Terei,buo_Latn,buo,
Busoa,,bup,
Brem,,buq,
Bokobaru,bus_Latn,bus,
Bungain,,but,
Budu,,buu,
Bun,,buv,
Bubi,,buw,
Boghom,bux_Latn,bux,
Bullom So,,buy,
Bukwen,,buz,
Barein,,bva,
Bube,bvb_Latn,bvb,
Baelelea,bvc_Latn,bvc,
Baeggu,,bvd,
Berau Malay,,bve,
Boor,,bvf,
Bonkeng,,bvg,
Bure,,bvh,
Belanda Viri,,bvi,
Baan,,bvj,
Bukat,,bvk,
Bamunka,,bvm,
Buna,,bvn,
Bolgo,,bvo,
Birri,,bvq,
Burarra,,bvr,
Bati (Indonesia),,bvt,
Bukit Malay,,bvu,
Baniva,,bvv,
Boga,,bvw,
Dibole,,bvx,
Baybayanon,,bvy,
Bauzi,bvz_Latn,bvz,
Bwatoo,,bwa,
Namosi-Naitasiri-Serua,,bwb,
Bwile,,bwc,
Bwaidoka,,bwd,
Bwe Karen,,bwe,
Boselewa,,bwf,
Barwe,,bwg,
Bishuo,,bwh,
Baniwa,,bwi,
Láá Láá Bwamu,,bwj,
Bauwaki,,bwk,
Bwela,,bwl,
Biwat,,bwm,
Wunai Bunu,,bwn,
Boro (Ethiopia),,bwo,
Mandobo Bawah,,bwp,
"Bobo Madaré, Southern",bwq_Latn,bwq,
Bura-Pabir,bwr_Latn,bwr,
Bomboma,,bws,
Bafaw-Balong,,bwt,
Buli,bwu_Latn,bwu,
Bwa,,bww,
Bu-Nao Bunu,,bwx,
Cwi Bwamu,,bwy,
Bwisi,,bwz,
Tairaha,,bxa,
Belanda Bor,,bxb,
Molengue,,bxc,
Pela,,bxd,
Birale,,bxe,
Minigir,bxf_Latn,bxf,
Bangala,,bxg,
Buhutu,,bxh,
Pirlatapa,,bxi,
Bayungu,,bxj,
Lubukusu,bxk_Latn,bxk,
Jalkunan,,bxl,
Mongolia Buriat,,bxm,
Burduna,,bxn,
Bebil,,bxp,
Beele,,bxq,
